File Name,Signal Power(W),Logic Power(W),Static Power(W),DC Power(W),Total Power(W),DataPath Delay,F7_Muxes,LUT_as_Memory,LUT_as_Logic,Slice_LUTs,LUT1,LUT2,LUT3,LUT4,LUT5,LUT6,LUT7,LUT_as_Memory2,LUT_as_Logic2,Slice_LUTs2,LUTs_difference
top_CLA8.v,0.167,0.065,0.088,4.807,4.895,9.882,0,0,13,13,0,1,2,3,3,6,0,0,13,4,9
top_CLA16.v,0.5,0.194,0.156,10.89,11.046,12.463,0,0,35,35,0,6,4,8,5,22,0,0,35,10,25
top_CLA32.v,1.749,0.505,0.485,22.729,23.213 (Junction temp exceeded!),18.806,0,0,96,96,0,26,9,14,15,59,0,0,96,33,63
top_a1_q1_rca_8bit.v,0.174,0.053,0.092,5.512,5.604,9.806,0,0,8,8,0,0,4,0,8,0,0,0,8,4,4
top_a1_q2_array_multi_4bit.v,0.135,0.082,0.083,3.853,3.936,9.916,0,0,16,16,0,3,0,4,2,11,0,0,16,4,12
top_a1_q3_pri_encoder_8x3.v,0.033,0.012,0.072,0.682,0.754,7.613,0,0,3,3,0,0,0,2,1,1,0,0,3,1,2
top_a1_q3_struct_pri_enc_8x3.v,0.034,0.012,0.072,0.675,0.746,7.905,0,0,3,3,0,1,0,1,0,2,0,0,3,1,2
top_a1_q4_mealy_fsm.v,0.077,0.073,0.071,0.158,0.229,5.52,0,1,11,12,0,2,5,5,1,1,0,1,11,0,12
top_a1_q4_moore_fsm.v,0.114,0.086,0.069,0.208,0.276,4.802,0,1,16,17,0,4,3,7,2,1,0,1,16,0,17
top_a2_q1_fsm.sv,0.632,0.416,0.486,20.225,20.711 (Junction temp exceeded!),8.816,0,0,51,51,0,6,9,10,0,35,0,0,0,0,51
top_a2_q2_RegFile.sv,2.595,0.006,0.792,63.863,64.654 (Junction temp exceeded!),10.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top_a3_q1_conv_pipeline.sv,1.342,0.574,0.158,11.027,11.185,7.143,9,0,643,643,2,120,187,104,76,258,0,0,0,0,643
top_a2_q3_fifo_1.sv,0.02,0.009,0.092,0.283,0.375,4.833,0,0,2,2,1,1,0,0,0,0,0,0,2,0,2
